abseil-cpp: 20240116.2
acpid: fail
alsa-lib: 1.2.12
apache-commons-httpclient: fail
a52dec: fail
adobe-mappings-cmap: 9.2
apache-commons-pool: 2.12.0
alsa-plugins: 1.2.12
acl: fail
accountsservice: 23.13.9
adcli: fail
apache-commons-daemon: 1.4.0
adobe-mappings-pdf: 9.2
apache-commons-vfs2: fail
advancecomp: 2.6
ansible: 2.17.0
adwaita-icon-theme: 46.2
aide: 0.18.8
apache-commons-collections4: fail
alsa-utils: 1.2.12
afflib: 3.7.4
apache-commons-dbcp: 2.12.0
amtk: fail
apache-commons-codec: 1.17.0
ant-junit: fail
acpica-tools: 20209528.1
amtterm: 1.7
apache-commons-logging: 1.3.2
apr: fail
apache-commons-lang: 3.14.0
apache-commons-digester: 3.3.2
apache-commons-compress: 1.26.2
alsa-firmware: 1.2.4
apache-commons-validator: 1.9.0
ant-contrib: 5.14
apache-commons-collections: 4.5.0
aopalliance: fail
apache-commons-cli: 1.8.0
apache-commons-lang3: fail
annobin: 22.9
apache-commons-jexl: 3.4.0
apache-commons-io: 2.16.1
apache-commons-net: 3.11.1
antlr: 4.13.1
apache-commons-pool2: fail
ant: 5.18.0
ansible-freeipa: 1.13.1
apache-parent: 32
application-gateway-kubernetes-ingress: 1.7.4
apache-commons-beanutils: 1.9.4
at: fail
aspnetcore-runtime-3.1: fail
archivemount: fail
aqute-bnd: fail
argparse-manpage: 4.6
asio: 1.30.2
args4j: 2.37
arpwatch: fail
atf: fail
arptables: 0.0.4
apr-util: 1.6.3
aspell: 0.60.8.1
at-spi2-atk: 2.38.0
asciidoc: 10.2.0
atk: fail
atinject: fail
authd: 0.2.1
audit: 5.6.0
autoconf: fail
atftp: 0.8.0
automake: 1.16
attr: 23.2.0
authbind: fail
audiofile: 1.1.1
authselect: 1.5.0
azure-nvme-utils: 0.2.0
autoconf213: fail
azure-iotedge: 1.5.3
aspell-en: 2020.12.7
autofs: fail
atop: 0.2.53
augeas: 1.14.1
babeltrace: 2.0.6
autoconf-archive: 2023.2.20
babl: fail
babeltrace2: fail
baekmuk-ttf-fonts: fail
azcopy: 10.25.0
bash: fail
bazel-workspaces: fail
base64coder: fail
bats: 0.4.0
babel: 7.24.7
bash-completion: 2.14.0
azure-iot-sdk-c: 8.2023
avahi: 0.8
azure-storage-cpp: 7.5.0
bazel: 8.0.0
autogen: 0.2.28
at-spi2-core: fail
bea-stax: fail
bcel: 6.9.0
bc: 0.30.0
byte-buddy-bootstrap: fail
binutils: 14.2
blobfuse2: fail
bdftopcf: fail
bzip2: fail
bdftopcf: fail
bcache-tools: 1.0.8
bind: fail
beust-jcommander: fail
bmake: fail
bcc: 0.30.0
bmon: 4.0
bluez: 5.76
blosc: 1.21.5
boom-boot: 1.0.0
bogofilter: 0.1
biosdevname: 0.7.3
cassandra: 4.1.5
blktrace: 1.1.0
brotli: 1.1.0
bsf: fail
bubblewrap: 0.9.0
